제조사,제품명,imgUrl
청주참가덕,참가덕 모주생막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_102319.png
청주참가덕,명월생막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_102251.png
청주참가덕,참가덕 생쌀막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_102220.png
(주)청주대청주조,백년장수옥수수동동주,https://i.nts.go.kr//upload/editor/20221006/IMG_102148.png
(주)청주대청주조,백년장수참쌀동동주,https://i.nts.go.kr//upload/editor/20221006/IMG_102120.png
(주)청주대청주조,참맛막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_102048.png
(주)청주대청주조,무학산생탁주,https://i.nts.go.kr//upload/editor/20221006/IMG_102000.png
(주)청주대청주조,청주가덕쌀막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101927.png
(주)청주느린마을양조장,동네방네 상당산성 막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101859.png
(주)청주느린마을양조장,사계절느린마을막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101821.png
진천덕산양조(주),덕산 생막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101748.png
조은술세종,복분자막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101720.png
조은술세종,가파도청보리막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101656.png
조은술세종,세종쌀막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101631.png
조은술세종,조껍데기막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101608.png
조은술세종,세종알밤막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101543.png
조은술세종,세종생막걸리1700,https://i.nts.go.kr//upload/editor/20221006/IMG_101509.png
조은술세종,세종청주생막걸리,https://i.nts.go.kr//upload/editor/20221006/IMG_101431.png
(주)충북소주,맑은바람 담금주,https://i.nts.go.kr//upload/editor/20221006/IMG_101329.png
(주)충북소주,시원한 청풍 담금주,https://i.nts.go.kr//upload/editor/20221006/IMG_101301.png
(주)충북소주,맑은바람,https://i.nts.go.kr//upload/editor/20221006/IMG_101230.png
(주)충북소주,시원한 청풍,https://i.nts.go.kr//upload/editor/20221006/IMG_101153.png
조은술세종,이도,https://i.nts.go.kr//upload/editor/20221006/IMG_101118.png
(주)충북소주,100휘,https://i.nts.go.kr//upload/editor/20221006/IMG_100936.png
