title,ingredient1,ingredient2,ingredient3,ingre_ratio1,ingre_ratio2,ingre_ratio3,비율,레시피임시,레시피
블루레몬에이드밀키스주,소주,밀키스,블루레몬에이드,4,3,3,4:3:3,"소주, 밀키스, 블루레몬에이드","소주, 밀키스, 블루레몬에이드를 4:3:3 비율로 섞어서 만들어요"
탄산봉봉주,소주,포도봉봉,탄산수,4,3,3,4:3:3,"소주, 포도봉봉, 탄산수","소주, 포도봉봉, 탄산수를 4:3:3 비율로 섞어서 만들어요"
소망주,소주,망고링고,,3,7,,3:7,"소주, 망고링고","소주, 망고링고를 3:7 비율로 섞어서 만들어요"
탄산이온주,소주,탄산,이온음료,4,2,4,4:2:4,"소주, 탄산, 이온음료","소주, 탄산, 이온음료를 4:2:4 비율로 섞어서 만들어요"
레몬주,소주,레몬맛 탄산음료,,4,6,,4:6,"소주, 레몬맛 탄산음료","소주, 레몬맛 탄산음료를 4:6 비율로 섞어서 만들어요"
밀키스주,소주,밀키스,,4,6,,4:6,"소주, 밀키스","소주, 밀키스를 4:6 비율로 섞어서 만들어요"
태극주,소주,빨간과일식초,파란이온음료,1,1,1,1:1:1,"소주, 빨간과일식초, 파란이온음료","소주, 빨간과일식초, 파란이온음료를 1:1:1 비율로 섞어서 만들어요"
모구모구주,소주,모구모구,,2,8,,2:8,"소주, 모구모구","소주, 모구모구를 2:8 비율로 섞어서 만들어요"
밀키스주,소주,맥주,밀키스,1,1,1,1:1:1,"소주, 맥주, 밀키스","소주, 맥주, 밀키스를 1:1:1 비율로 섞어서 만들어요"
에너자이저주,소주,파워에이드,핫식스,2,2,2,2:2:2,"소주, 파워에이드, 핫식스","소주, 파워에이드, 핫식스를 2:2:2 비율로 섞어서 만들어요"
젤리주,소주,젤리,,1,1,,1:1,"소주, 젤리","소주, 젤리를 1:1 비율로 섞어서 만들어요"
메로나주,소주,메로나,사이다,1,1,3,1:1:3,"소주, 메로나, 사이다","소주, 메로나, 사이다를 1:1:3 비율로 섞어서 만들어요"
폴라포주,소주,폴라포,사이다,1,1,3,1:1:3,"소주, 폴라포, 사이다","소주, 폴라포, 사이다를 1:1:3 비율로 섞어서 만들어요"
우정주,소주,맥주,,9,1,,9:1,"소주, 맥주","소주, 맥주를 9:1 비율로 섞어서 만들어요"
초코에몽주,소주,초코에몽,,1,2,,1:2,"소주, 초코에몽","소주, 초코에몽를 1:2 비율로 섞어서 만들어요"
홍초주,소주,홍초,사이다,1,,1,1::1,"소주, 홍초, 사이다","소주, 홍초, 사이다를 1::1 비율로 섞어서 만들어요"
미숫가루주,소주,미숫가루,,1,1,,1:1,"소주, 미숫가루","소주, 미숫가루를 1:1 비율로 섞어서 만들어요"
스크류바주,소주,스크류바,사이다,1,1,3,1:1:3,"소주, 스크류바, 사이다","소주, 스크류바, 사이다를 1:1:3 비율로 섞어서 만들어요"
고진감래주,소주,맥주,콜라,3,7,1,3:7:1,"소주, 맥주, 콜라","소주, 맥주, 콜라를 3:7:1 비율로 섞어서 만들어요"
소맥사,소주,맥주,사이다,3,6,1,3:6:1,"소주, 맥주, 사이다","소주, 맥주, 사이다를 3:6:1 비율로 섞어서 만들어요"
블루베리주,소주,블루베리에이드,,1,1,,1:1,"소주, 블루베리에이드","소주, 블루베리에이드를 1:1 비율로 섞어서 만들어요"
수박주,소주,수박에이드,,1,1,,1:1,"소주, 수박에이드","소주, 수박에이드를 1:1 비율로 섞어서 만들어요"
맥사토,맥주,사이다,토마토주스,1,1,1,1:1:1,"맥주, 사이다, 토마토주스","맥주, 사이다, 토마토주스를 1:1:1 비율로 섞어서 만들어요"
과일청 하이볼,위스키,탄산수,,1,1,,1:1,"위스키, 탄산수","위스키, 탄산수를 1:1 비율로 섞어서 만들어요"
퍼지네이블,피치트리,오렌지주스,,1,3,,1:3,"피치트리, 오렌지주스","피치트리, 오렌지주스를 1:3 비율로 섞어서 만들어요"
소원주,소주,원두커피,,1,5,,1:5,"소주, 원두커피","소주, 원두커피를 1:5 비율로 섞어서 만들어요"
링겔주,소주,매화수,,1,1,,1:1,"소주, 매화수","소주, 매화수를 1:1 비율로 섞어서 만들어요"
크림막걸리,막걸리,설레임,,1,1,,1:1,"막걸리, 설레임","막걸리, 설레임를 1:1 비율로 섞어서 만들어요"
탱크젤리주,소주,탄산수,봉봉,1,1,1,1:1:1,"소주, 탄산수, 봉봉","소주, 탄산수, 봉봉를 1:1:1 비율로 섞어서 만들어요"
쌕쌕주,소주,오렌지쌕쌕,,3,7,,3:7,"소주, 오렌지쌕쌕","소주, 오렌지쌕쌕를 3:7 비율로 섞어서 만들어요"
아소주,소주,아이스티,,4,6,,4:6,"소주, 아이스티","소주, 아이스티를 4:6 비율로 섞어서 만들어요"
복숭아봉봉주,소주,복숭아봉봉,,6,4,,6:4,"소주, 복숭아봉봉","소주, 복숭아봉봉를 6:4 비율로 섞어서 만들어요"
요거풋풋주,소주,요거풋풋,,4,6,,4:6,"소주, 요거풋풋","소주, 요거풋풋를 4:6 비율로 섞어서 만들어요"
요구르트주,소주,요구르트,사이다,1,2,1,1:2:1,"소주, 요구르트, 사이다","소주, 요구르트, 사이다를 1:2:1 비율로 섞어서 만들어요"
소토닉,소주,토닉워터,,1,1,,1:1,"소주, 토닉워터","소주, 토닉워터를 1:1 비율로 섞어서 만들어요"
홍익인간주,소주,홍초,,1,8,,1:8,"소주, 홍초","소주, 홍초를 1:8 비율로 섞어서 만들어요"
더티호,호가든,기네스,,1,1,,1:1,"호가든, 기네스","호가든, 기네스를 1:1 비율로 섞어서 만들어요"
화요토닉,화요,토닉워터,레몬,1,1,1,1:1:1,"화요, 토닉워터, 레몬","화요, 토닉워터, 레몬를 1:1:1 비율로 섞어서 만들어요"
기범주,소주,홍차,,1,1,,1:1,"소주, 홍차","소주, 홍차를 1:1 비율로 섞어서 만들어요"
깔루아밀크,깔루아,우유,,1,3,,1:3,"깔루아, 우유","깔루아, 우유를 1:3 비율로 섞어서 만들어요"
스크류키스 칵테일,소주,스크류바,사이다,1,1,1,1:1:1,"소주, 스크류바, 사이다","소주, 스크류바, 사이다를 1:1:1 비율로 섞어서 만들어요"
복소사,소주,사이다,복분자,6,4,1,6:4:1,"소주, 사이다, 복분자","소주, 사이다, 복분자를 6:4:1 비율로 섞어서 만들어요"
버블탱크,소주,사이다,탱크보이,1,1,1,1:1:1,"소주, 사이다, 탱크보이","소주, 사이다, 탱크보이를 1:1:1 비율로 섞어서 만들어요"
무지개주,양주,숙취음료,이온음료,1,1,1,1:1:1,"양주, 숙취음료, 이온음료","양주, 숙취음료, 이온음료를 1:1:1 비율로 섞어서 만들어요"
